Date,Close,,,,
1/4/2025,2.222,,,,
31/03/2025,2.222,,,,
28/03/2025,2.222,,,,
27/03/2025,2.222,,,,
26/03/2025,2.222,,,,
25/03/2025,2.222,,,,
24/03/2025,2.222,,,,
21/03/2025,2.222,,,,
20/03/2025,2.223,,,,
19/03/2025,2.223,,,,
18/03/2025,2.231,,,,
17/03/2025,2.231,,,,
14/03/2025,2.231,,,,
13/03/2025,2.232,,,,
12/3/2025,2.182,,,,
11/3/2025,2.232,,,,
10/3/2025,2.232,,,,
7/3/2025,2.232,,,,
6/3/2025,2.245,,,,
5/3/2025,2.233,,,,
4/3/2025,2.236,,,,
3/3/2025,2.236,,,,
28/02/2025,2.233,,,,
27/02/2025,2.238,,,,
26/02/2025,2.239,,,,
25/02/2025,2.238,,,,
24/02/2025,2.239,,,,
21/02/2025,2.239,,,,
20/02/2025,2.238,,,,
19/02/2025,2.239,,,,
18/02/2025,2.239,,,,
17/02/2025,2.239,,,,
14/02/2025,2.234,,,,
13/02/2025,2.23,,,,
12/2/2025,2.198,,,,
11/2/2025,2.193,,,,
10/2/2025,2.181,,,,
7/2/2025,2.18,,,,
6/2/2025,2.18,,,,
5/2/2025,2.18,,,,
4/2/2025,2.181,,,,
3/2/2025,2.173,,,,
31/01/2025,2.122,,,,
30/01/2025,2.122,,,,
29/01/2025,2.122,,,,
28/01/2025,2.122,,,,
27/01/2025,2.122,,,,
24/01/2025,2.171,,,,
23/01/2025,2.171,,,,
22/01/2025,2.18,,,,
21/01/2025,2.18,,,,
20/01/2025,2.18,,,,
17/01/2025,2.18,,,,
16/01/2025,2.181,,,,
15/01/2025,2.164,,,,
14/01/2025,2.151,,,,
13/01/2025,2.16,,,,
10/1/2025,2.126,,,,
9/1/2025,2.13,,,,
8/1/2025,2.131,,,,
7/1/2025,2.127,,,,
6/1/2025,2.126,,,,
3/1/2025,2.126,,,,
2/1/2025,2.126,,,,
31/12/2024,2.117,,,,
30/12/2024,2.117,,,,
27/12/2024,2.113,,,,
26/12/2024,2.114,,,,
25/12/2024,2.114,,,,
24/12/2024,2.113,,,,
23/12/2024,2.114,,,,
20/12/2024,2.084,,,,
19/12/2024,2.064,,,,
